对局UID,对局开始时间,对局结束时间,角色名称,角色英雄,每轮出价,最终藏品价值,最终收益
2537:1469222504320059,2026-06-19 18:47:40,2026-06-19 18:49:45,热心市民李先生,301:拉文,R1:888999;R2:888999;R3:888999;R4:888999,0,-25000
2537:1469222504320059,2026-06-19 18:47:40,2026-06-19 18:49:45,ONLY ONE,103:艾莎,R1:700000;R2:888888;R3:1180000;R4:999999,0,-25000
2537:1469222504320059,2026-06-19 18:47:40,2026-06-19 18:49:45,白菜予诺,301:拉文,R1:999999;R2:999999;R3:999999;R4:1099999,0,-25000
2537:1469222504320059,2026-06-19 18:47:40,2026-06-19 18:49:45,AIR1314,103:艾莎,R1:588888;R2:788888;R3:999999;R4:1280000,1725574,420574
4531:1469222504479982,2026-06-19 18:50:37,2026-06-19 18:52:52,好吃凤梨,207:吴起灵,R1:799999;R2:799999;R3:1039999;R4:1674930,1742374,42444
4531:1469222504479982,2026-06-19 18:50:37,2026-06-19 18:52:52,ShoeKeeper,103:艾莎,R1:777999;R2:1244799;R3:1244799;R4:888888,0,-25000
4531:1469222504479982,2026-06-19 18:50:37,2026-06-19 18:52:52,菜跑跑,301:拉文,R1:888888;R2:888888;R3:6;R4:6,0,-25000
4531:1469222504479982,2026-06-19 18:50:37,2026-06-19 18:52:52,AIR1314,103:艾莎,R1:733333;R2:733333;R3:733333;R4:733333,0,-25000
